id,First Payment Date,First Payment Value
12960187,,
12960135,,
12960033,,
12960003,,
12959962,,
12959929,,
12959849,,
12959846,,
12959800,,
12959679,,
12959587,,
12959584,,
12959583,,
12959574,,
12959525,,
12959518,,
12959507,,
12959503,,
12959494,,
12959491,,
12959487,,
12959460,,
12959415,,
12959225,,
12959209,,
12959206,,
12959200,,
12959160,,
12959155,,
12959154,,
12959153,,
12959090,,
12959089,,
12959022,,
12959007,,
12958985,,
12958972,,
12958850,,
12958805,,
12958797,,
12958795,,
12958792,,
12958734,,
12958733,,
12958635,,
12958486,,
12952832,,
12951665,,
12951574,,
12949051,,
12947697,,
12946355,4/10/16 6:49 PM,19.95
12946345,,
12946278,,
12946182,,
12946158,,
12946154,,
12946146,,
12946134,,
12946129,,
12946081,,
12946061,,
12946047,,
12946046,,
12946020,,
12945980,,
12945968,,
12945962,,
12945950,,
12945835,,
12945698,,
12945629,,
12945432,,
12945368,,
12945304,,
12945302,,
12945246,,
12945238,,
12945202,,
12945197,,
12945188,,
12945166,,
12945106,,
12945088,,
12945057,,
12944924,,
12944923,,
12944911,,
12944907,,
12944887,,
12944873,,
12944871,,
12944861,,
12944717,,
12944715,,
12944711,,
12944705,,
12944696,,
12944677,,
12944663,,
12944570,,
12944518,,
12944491,,
12944435,,
12944421,,
12944342,,
12944281,,
12944278,,
12944276,,
12944271,,
12944270,,
12944269,,
12944267,,
12944266,,
12944265,,
12944261,,
12944258,,
12944246,,
12944245,,
12944244,,
12944227,,
12944226,,
12944222,,
12944109,,
12944078,,
12944061,,
12944055,,
12943907,,
12943897,,
12943865,,
12943832,,
12943831,,
12943828,,
12943737,,
12943656,,
12943606,,
12943555,,
12943544,,
12943533,,
12943532,,
12943489,,
12943456,,
12943371,,
12943325,,
12943322,,
12943254,,
12943166,4/12/16 7:39 AM,19.95
12943084,,
12943068,,
12942996,,
12942810,,
12942808,,
12942624,,
12942623,,
12942552,,
12942519,,
12942510,,
12942483,,
12942448,,
12942403,,
12942387,,
12942382,,
12942332,,
12942315,,
12942206,,
12942166,,
12942156,,
12942141,,
12941908,,
12941877,,
12941876,,
12941853,,
12941663,,
12941637,,
12941610,,
12941605,,
12941564,,
12941557,,
12941353,,
12941296,,
12941265,,
12941250,,
12941189,,
12941178,,
12941145,,
12941104,,
12940974,,
12940941,,
12940919,,
12940858,,
12940857,,
12940768,,
12940767,,
12940765,,
12940684,,
12940683,,
12940677,,
12940598,,
12940542,,
12940526,,
12940515,,
12940479,,
12940474,,
12940473,,
12940472,,
12940391,,
12940387,,
12940383,,
12940317,,
12940314,,
12940259,,
12940150,,
12940132,,
12940131,,
12940127,,
12940005,,
12939855,,
12939849,,
12939776,,
12939675,,
12939656,,
12939551,,
12939496,,
12939494,,
12939492,,
12939480,,
12939385,,
12939378,,
12939271,,
12939267,,
12939251,,
12939246,,
12939233,,
12939227,,
12939212,,
12939206,,
12939200,,
12939179,,
12939177,,
12939076,,
12939075,,
12938886,,
12938874,,
12938763,,
12938761,,
12938705,,
12938680,,
12938561,,
12938555,,
12938535,,
12938528,,
12938426,,
12938399,,
12938398,,
12938396,,
12938395,,
12938387,,
12938384,,
12938377,,
12938370,,
12938365,,
12938305,,
12938273,,
12938214,,
12938197,,
12938100,,
12937949,,
12937947,,
12937862,,
12937861,,
12937821,,
12937803,,
12937754,,
12937751,,
12937640,,
12937632,,
12937603,,
12937579,,
12937574,,
12937536,,
12937523,,
12937481,,
12937473,,
12937434,,
12937386,,
12937380,,
12937312,,
12937291,,
12937264,,
12937263,,
12937248,,
12937216,,
12937206,,
12937171,4/1/16 7:58 AM,155.4
12937110,,
12937073,3/31/16 4:49 AM,155.4
12937041,,
12937034,,
12937013,,
12937011,,
12936973,,
12936967,,
12936944,,
12936899,,
12936833,,
12936832,4/19/16 1:59 AM,9.95
12936806,,
12936787,,
12936747,,
12936723,,
12936719,,
12936700,,
12936687,,
12936686,,
12936575,,
12936568,,
12936559,,
12936490,,
12936458,,
12936440,,
12936375,,
12936292,,
12936290,,
12936258,,
12936250,,
12936212,,
12936181,,
12936154,,
12936144,,
12936142,,
12936111,,
12936106,,
12936012,,
12935979,,
12935973,,
12935969,,
12935967,,
12935953,,
12935927,,
12935904,,
12935873,,
12935823,,
12935777,,
12935769,,
12935764,,
12935696,5/15/16 11:40 PM,9.95
12935648,,
12935594,,
12935555,,
12935532,,
12935522,,
12935509,,
12935459,,
12935442,,
12935420,,
12935417,,
12935368,,
12935323,,
12935308,,
12935271,,
12935233,,
12935218,,
12935213,,
12935204,,
12935089,,
12935062,,
12934986,,
12934984,,
12934962,,
12934944,,
12934876,,
12934830,,
12934776,,
12934739,,
12934706,,
12934663,,
12934643,,
12934578,,
12934568,,
12934494,,
12934484,,
12934461,,
12934457,,
12934454,,
12934439,,
12934420,,
12934337,,
12934332,4/7/16 10:29 AM,9.95
12934315,,
12934300,,
12934287,,
12934286,,
12934264,,
12934241,,
12934228,,
12934216,,
12934185,,
12934174,,
12934151,,
12934121,,
12934119,,
12934104,,
12934081,,
12934079,,
12934077,,
12934052,,
12934009,4/14/16 7:32 PM,9.95
12933998,,
12933973,,
12933969,,
12933959,,
12933956,,
12933920,,
12933892,,
12933863,,
12933850,,
12933804,,
12933741,,
12933664,,
12933598,,
12933519,,
12933518,,
12933515,,
12933464,,
12933440,,
12933429,,
12933426,,
12933359,,
12933311,,
12933304,,
12933289,4/11/16 6:30 PM,19.95
12933198,,
12933135,,
12933122,,
12933107,,
12933090,,
12933048,,
12933047,,
12933038,,
12933021,,
12932996,,
12932963,,
12932917,,
12932899,,
12932898,,
12932897,,
12932777,,
12932720,,
12932654,,
12932651,,
12932617,,
12932601,,
12932537,,
12932482,,
12932406,,
12932372,,
12932323,,
12932317,,
12932251,,
12932238,,
12932205,,
12932200,,
12932122,,
12932070,,
12932068,,
12932001,,
12931973,,
12931960,,
12931931,,
12931930,,
12931886,,
12931837,,
12931823,,
12931822,,
12931794,,
12931724,,
12931686,,
12931670,,
12931669,,
12931532,,
12931496,,
12931428,,
12931426,,
12931423,,
12931391,,
12931299,,
12931222,,
12931195,,
12931167,,
12931152,,
12931097,,
12931073,,
12931033,,
12930989,,
12930981,,
12930977,,
12930971,,
12930935,,
12930927,,
12930871,5/12/16 5:21 PM,9.95
12930827,,
12930777,,
12930727,,
12930665,,
12930661,,
12930651,,
12930615,,
12930613,,
12930593,,
12930576,,
12930567,,
12930528,,
12930480,,
12930479,,
12930475,,
12930460,,
12930456,,
12930454,,
12930428,,
12930425,,
12930393,,
12930386,,
12930385,,
12930296,,
12930231,,
12930221,,
12930220,,
12930177,,
12930134,,
12930077,,
12930073,,
12930049,,
12930035,,
12930029,4/7/16 10:30 PM,9.95
12930027,,
12930016,,
12930005,,
12929966,,
12929965,,
12929949,,
12929908,,
12929894,4/14/16 3:11 PM,9.95
12929893,,
12929871,,
12929849,,
12929797,,
12929677,,
12929636,,
12929619,,
12929613,,
12929567,,
12929536,,
12929523,,
12929520,,
12929510,,
12929503,,
12929496,,
12929473,,
12929458,,
12929412,,
12929404,,
12929365,,
12929350,,
12929272,,
12929164,3/30/16 5:03 PM,155.4
12929162,,
12929112,,
12929085,,
12929004,,
12928988,,
12928928,,
12928927,,
12928911,,
12928903,,
12928887,,
12928793,,
12928774,,
12928772,,
12928752,,
12928688,,
12928668,,
12928633,,
12928621,,
12928591,,
12928513,,
12928506,,
12928497,,
12928476,,
12928422,,
12928418,,
12928406,,
12928341,,
12928264,,
12928218,,
12928207,,
12928146,,
12928136,,
12928121,,
12928109,,
12928085,,
12928075,,
12928066,,
12928030,,
12927959,,
12927944,,
12927916,,
